id_estorno,id_transacao,data_estorno,motivo
R00001,T0000155,2026-04-08 00:00:00,DUPLICIDADE
R00002,T0000016,2026-03-16 00:00:00,FRAUDE_CONFIRMADA
R00003,T0000506,2026-03-21 00:00:00,DUPLICIDADE
R00004,T0000223,2026-03-05 00:00:00,CONTESTACAO_CLIENTE
R00005,T0000351,2026-03-20 00:00:00,DUPLICIDADE
R00006,T0000431,2026-04-02 00:00:00,FRAUDE_CONFIRMADA
R00007,T0000320,2026-03-07 00:00:00,FRAUDE_CONFIRMADA
R00008,T0000511,2026-04-03 00:00:00,CONTESTACAO_CLIENTE
R00009,T0000381,2026-04-07 00:00:00,FRAUDE_CONFIRMADA
R00010,T0000475,2026-04-04 00:00:00,DUPLICIDADE
R00011,T0000033,2026-03-24 00:00:00,ERRO_PROCESSAMENTO
R00012,T0000339,2026-03-15 00:00:00,CONTESTACAO_CLIENTE
R00013,T0000083,2026-04-09 00:00:00,CONTESTACAO_CLIENTE
R00014,T0000150,2026-03-21 00:00:00,DUPLICIDADE
R00015,T0000058,2026-03-24 00:00:00,FRAUDE_CONFIRMADA
R00016,T0000273,2026-03-28 00:00:00,CONTESTACAO_CLIENTE
R00017,T0000402,2026-03-18 00:00:00,CONTESTACAO_CLIENTE
R00018,T0000074,2026-03-20 00:00:00,DUPLICIDADE
R00019,T0000155,2026-04-08 11:00:00,ESTORNO_PARCIAL_COMPLEMENTAR
R00999,T8888888,2026-04-09 12:00:00,REFERENCIA_INVALIDA
