id_transacao,id_cartao,data_transacao,valor,mcc,estabelecimento,canal,pais,moeda
T0000361,K00006,2026-03-31 01:09:45,114.53,5812,ATM Banco,ATM,BR,BRL
T0000362,K00038,2026-03-23 11:29:47,243.46,5812,Mobilidade Urbana,ATM,BR,BRL
T0000363,K00009,2026-03-03 18:36:03,595.75,5999,ATM Banco,APP,BR,BRL
T0000364,K00021,2026-03-30 12:44:53,798.55,5999,Restaurante Avenida,POS,US,USD
T0000365,K00007,2026-03-31 06:08:49,392.75,5812,Posto Sul,ATM,AR,ARS
T0000366,K00014,2026-03-11 13:07:34,1132.53,5541,Loja Online X,POS,BR,BRL
T0000367,K00039,2026-03-03 05:51:43,105.62,6011,ATM Banco,APP,BR,BRL
T0000368,K00026,2026-03-05 02:45:15,1286.08,4111,Loja Online X,APP,BR,BRL
T0000369,K00036,2026-03-27 05:01:25,1871.46,5812,Mercado Central,ATM,BR,BRL
T0000370,K00015,2026-03-04 04:07:00,331.13,6011,Posto Sul,APP,BR,BRL
T0000371,K00038,2026-03-22 20:41:05,650.76,6011,Mercado Central,POS,AR,ARS
T0000372,K00009,2026-03-03 06:57:41,234.49,6011,ATM Banco,APP,BR,BRL
T0000373,K00037,2026-03-04 01:29:03,1085.73,4111,Posto Sul,ATM,BR,BRL
T0000374,K00023,2026-03-01 12:43:27,540.72,5812,Loja Online X,APP,BR,BRL
T0000375,K00040,2026-03-15 04:02:39,618.23,5999,Posto Sul,ATM,AR,ARS
T0000376,K00018,2026-03-29 17:30:03,960.62,5541,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000377,K00023,2026-03-21 17:50:01,1201.81,6011,Posto Sul,APP,BR,BRL
T0000378,K00018,2026-03-30 18:32:20,453.64,5999,Tech Store,ECOMMERCE,BR,BRL
T0000379,K00034,2026-03-01 08:03:51,896.80,5732,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000380,K00035,2026-03-04 07:42:15,2041.63,4111,Mercado Central,ECOMMERCE,BR,BRL
T0000381,K00012,2026-03-19 12:22:59,595.20,5999,ATM Banco,APP,BR,BRL
T0000382,K00023,2026-03-30 18:01:45,2369.16,5732,Restaurante Avenida,ECOMMERCE,US,USD
T0000383,K00032,2026-03-27 15:34:19,99.72,5411,Restaurante Avenida,ECOMMERCE,BR,BRL
T0000384,K00040,2026-03-01 16:30:00,507.65,5812,Loja Online X,ECOMMERCE,BR,BRL
T0000385,K00038,2026-03-30 10:03:01,1763.22,5812,ATM Banco,POS,BR,BRL
T0000386,K00024,2026-03-28 16:55:23,1762.82,4111,Posto Sul,POS,BR,BRL
T0000387,K00028,2026-03-11 09:20:08,1980.65,5541,Mobilidade Urbana,APP,BR,BRL
T0000388,K00023,2026-03-06 22:35:44,561.98,5732,ATM Banco,ECOMMERCE,AR,ARS
T0000389,K00009,2026-03-13 09:46:44,448.38,5411,Mobilidade Urbana,ATM,BR,BRL
T0000390,K00021,2026-03-28 18:02:11,2302.99,5732,Restaurante Avenida,POS,AR,ARS
T0000391,K00005,2026-03-30 15:09:21,598.80,5999,Restaurante Avenida,POS,US,USD
T0000392,K00022,2026-03-27 22:42:40,1119.34,5999,Restaurante Avenida,ECOMMERCE,US,USD
T0000393,K00001,2026-03-23 02:22:16,125.13,5541,Mobilidade Urbana,ATM,BR,BRL
T0000394,K00023,2026-03-06 13:31:56,1367.33,5411,ATM Banco,ATM,BR,BRL
T0000395,K00015,2026-03-26 18:41:48,410.83,5411,ATM Banco,POS,US,USD
T0000396,K00005,2026-03-10 00:20:16,857.81,5541,Restaurante Avenida,POS,BR,BRL
T0000397,K00031,2026-03-18 02:21:38,1762.74,5541,Mobilidade Urbana,ECOMMERCE,AR,ARS
T0000398,K00022,2026-03-20 13:10:03,517.85,5812,Posto Sul,APP,BR,BRL
T0000399,K00004,2026-03-22 09:19:15,985.29,5732,ATM Banco,ATM,BR,BRL
T0000400,K00006,2026-03-05 01:23:00,739.90,4111,Mobilidade Urbana,ATM,BR,BRL
T0000401,K00041,2026-03-07 03:01:13,733.07,5411,Posto Sul,POS,BR,BRL
T0000402,K00017,2026-03-10 12:30:31,232.39,5732,Posto Sul,ECOMMERCE,US,USD
T0000403,K00003,2026-03-12 12:23:11,661.92,5541,Loja Online X,ECOMMERCE,BR,BRL
T0000404,K00007,2026-03-27 08:36:03,218.84,5999,ATM Banco,ATM,BR,BRL
T0000405,K00025,2026-03-25 18:14:35,2046.92,5541,Tech Store,ATM,BR,BRL
T0000406,K00026,2026-03-19 07:30:19,2257.43,4111,Mercado Central,ECOMMERCE,BR,BRL
T0000407,K00013,2026-03-04 14:11:10,319.83,5541,Mercado Central,ATM,BR,BRL
T0000408,K00017,2026-03-07 20:09:53,802.77,4111,ATM Banco,POS,AR,ARS
T0000409,K00021,2026-03-03 12:35:25,2142.28,5732,Posto Sul,POS,AR,ARS
T0000410,K00027,2026-03-26 22:39:37,285.73,5812,Restaurante Avenida,POS,AR,ARS
T0000411,K00019,2026-03-30 03:36:49,2169.35,5999,Posto Sul,APP,BR,BRL
T0000412,K00031,2026-03-13 20:31:36,98.48,5999,Posto Sul,ECOMMERCE,AR,ARS
T0000413,K00003,2026-03-20 19:43:44,992.50,5999,Mobilidade Urbana,ECOMMERCE,BR,BRL
T0000414,K00024,2026-03-02 23:30:58,55.48,6011,ATM Banco,APP,BR,BRL
T0000415,K00007,2026-03-10 08:53:31,2431.38,5812,Restaurante Avenida,APP,US,USD
T0000416,K00018,2026-03-24 14:49:52,1823.35,5732,Mobilidade Urbana,POS,BR,BRL
T0000417,K00032,2026-03-07 14:13:58,1899.94,6011,Loja Online X,POS,BR,BRL
T0000418,K00033,2026-03-17 05:04:19,1011.45,6011,ATM Banco,POS,US,USD
T0000419,K00004,2026-03-06 06:56:53,627.48,5541,Mercado Central,APP,BR,BRL
T0000420,K00033,2026-03-23 06:17:23,995.37,5411,Mobilidade Urbana,POS,BR,BRL
T0000421,K00012,2026-03-08 11:31:38,2401.50,5541,Tech Store,APP,BR,BRL
T0000422,K00006,2026-03-12 05:53:57,716.25,5541,Mercado Central,ECOMMERCE,BR,BRL
T0000423,K00015,2026-03-28 18:49:13,1695.85,5999,Mobilidade Urbana,ATM,BR,BRL
T0000424,K00001,2026-03-17 00:55:49,1187.87,5812,Mobilidade Urbana,ECOMMERCE,US,USD
T0000425,K00020,2026-03-20 00:14:16,1783.29,4111,Mobilidade Urbana,APP,AR,ARS
T0000426,K00017,2026-03-14 12:54:22,549.43,5999,Mobilidade Urbana,ATM,BR,BRL
T0000427,K00024,2026-03-19 03:00:32,1405.84,5732,Tech Store,APP,US,USD
T0000428,K00022,2026-03-10 21:06:30,2470.96,4111,Loja Online X,APP,BR,BRL
T0000429,K00020,2026-03-09 20:45:57,474.96,5732,ATM Banco,ECOMMERCE,US,USD
T0000430,K00026,2026-03-29 01:51:54,1653.02,4111,Restaurante Avenida,POS,AR,ARS
T0000431,K00026,2026-03-21 15:18:16,973.75,5411,Tech Store,ECOMMERCE,BR,BRL
T0000432,K00035,2026-03-11 23:45:14,1597.59,5541,Mobilidade Urbana,APP,US,USD
T0000433,K00036,2026-03-17 09:54:10,456.93,5411,Posto Sul,ECOMMERCE,US,USD
