id_conta,id_cliente,tipo_conta,status_conta,data_abertura,data_atualizacao,operacao
A00001,C0001,PAGAMENTO,ATIVA,2025-10-16,2026-01-20 08:00:00,I
A00002,C0002,POUPANCA,ATIVA,2024-06-05,2026-01-20 08:00:00,I
A00003,C0003,PAGAMENTO,ATIVA,2025-07-06,2026-01-20 08:00:00,I
A00004,C0003,PAGAMENTO,ATIVA,2024-01-01,2026-01-20 08:00:00,I
A00005,C0004,CORRENTE,ATIVA,2024-01-20,2026-01-20 08:00:00,I
A00006,C0005,CORRENTE,ATIVA,2024-11-10,2026-01-20 08:00:00,I
A00007,C0005,CORRENTE,ATIVA,2024-02-29,2026-01-20 08:00:00,I
A00008,C0006,CORRENTE,ATIVA,2024-03-21,2026-01-20 08:00:00,I
A00009,C0006,CORRENTE,ATIVA,2025-05-12,2026-01-20 08:00:00,I
A00010,C0007,CORRENTE,ATIVA,2025-06-29,2026-01-20 08:00:00,I
A00011,C0007,PAGAMENTO,ATIVA,2024-05-11,2026-01-20 08:00:00,I
A00012,C0008,CORRENTE,ATIVA,2025-07-16,2026-01-20 08:00:00,I
A00013,C0009,POUPANCA,ATIVA,2025-09-13,2026-01-20 08:00:00,I
A00014,C0010,PAGAMENTO,ATIVA,2025-07-06,2026-01-20 08:00:00,I
A00015,C0010,PAGAMENTO,ATIVA,2024-07-24,2026-01-20 08:00:00,I
A00016,C0011,PAGAMENTO,ATIVA,2025-11-18,2026-01-20 08:00:00,I
A00017,C0012,POUPANCA,ATIVA,2025-06-13,2026-01-20 08:00:00,I
A00018,C0013,CORRENTE,ATIVA,2024-08-18,2026-01-20 08:00:00,I
A00019,C0014,PAGAMENTO,ATIVA,2025-08-25,2026-01-20 08:00:00,I
A00020,C0015,CORRENTE,ATIVA,2024-08-13,2026-01-20 08:00:00,I
A00021,C0016,CORRENTE,ATIVA,2025-10-08,2026-01-20 08:00:00,I
A00022,C0017,POUPANCA,ATIVA,2024-02-02,2026-01-20 08:00:00,I
A00023,C0018,POUPANCA,ATIVA,2024-08-31,2026-01-20 08:00:00,I
A00024,C0019,PAGAMENTO,ATIVA,2024-08-07,2026-01-20 08:00:00,I
A00025,C0020,PAGAMENTO,ATIVA,2025-08-07,2026-01-20 08:00:00,I
A00026,C0021,POUPANCA,ATIVA,2025-04-29,2026-01-20 08:00:00,I
A00027,C0022,PAGAMENTO,ATIVA,2024-04-09,2026-01-20 08:00:00,I
A00028,C0023,POUPANCA,ATIVA,2025-03-09,2026-01-20 08:00:00,I
A00029,C0024,PAGAMENTO,ATIVA,2024-02-25,2026-01-20 08:00:00,I
A00030,C0025,CORRENTE,ATIVA,2025-10-23,2026-01-20 08:00:00,I
A00031,C0026,CORRENTE,ATIVA,2024-12-13,2026-01-20 08:00:00,I
A00032,C0027,PAGAMENTO,ATIVA,2024-07-13,2026-01-20 08:00:00,I
A00033,C0028,CORRENTE,ATIVA,2025-03-08,2026-01-20 08:00:00,I
A00034,C0029,CORRENTE,ATIVA,2024-09-12,2026-01-20 08:00:00,I
A00035,C0030,CORRENTE,ATIVA,2025-07-17,2026-01-20 08:00:00,I
A00003,C0003,PAGAMENTO,ENCERRADA,2025-07-06,2026-03-01 12:00:00,U
A00008,C0006,CORRENTE,ENCERRADA,2024-03-21,2026-03-01 12:00:00,U
A00015,C0010,PAGAMENTO,ENCERRADA,2024-07-24,2026-03-01 12:00:00,U
A00022,C0017,POUPANCA,ENCERRADA,2024-02-02,2026-03-01 12:00:00,U
A00999,C9999,CORRENTE,ATIVA,2026-01-15,2026-03-03 11:00:00,I
A00006,C0005,CORRENTE,ATIVA,2024-11-10,2026-01-20 08:00:00,I
