id_evento,id_transacao,tipo_evento,severidade,data_evento
E00001,T0000372,CHARGEBACK,MEDIA,2026-03-16 09:00:00
E00002,T0000534,CHARGEBACK,MEDIA,2026-03-09 16:00:00
E00003,T0000462,FRAUDE,BAIXA,2026-03-03 11:00:00
E00004,T0000424,CHARGEBACK,CRITICA,2026-03-30 17:00:00
E00005,T0000172,CHARGEBACK,CRITICA,2026-03-09 17:00:00
E00006,T0000189,FRAUDE,CRITICA,2026-04-10 20:00:00
E00007,T0000024,SUSPEITA,CRITICA,2026-04-03 20:00:00
E00008,T0000129,SUSPEITA,ALTA,2026-03-23 15:00:00
E00009,T0000241,SUSPEITA,MEDIA,2026-03-06 14:00:00
E00010,T0000258,CHARGEBACK,ALTA,2026-03-27 08:00:00
E00011,T0000082,FRAUDE,ALTA,2026-03-01 00:00:00
E00012,T0000216,SUSPEITA,MEDIA,2026-03-23 09:00:00
E00013,T0000171,CHARGEBACK,BAIXA,2026-04-14 15:00:00
E00014,T0000407,CHARGEBACK,ALTA,2026-03-01 13:00:00
E00015,T0000106,CHARGEBACK,MEDIA,2026-03-01 17:00:00
E00016,T0000098,CHARGEBACK,MEDIA,2026-03-27 17:00:00
E00017,T0000066,CHARGEBACK,CRITICA,2026-03-16 05:00:00
E00018,T0000485,SUSPEITA,CRITICA,2026-03-25 07:00:00
E00019,T0000562,CHARGEBACK,BAIXA,2026-03-28 20:00:00
E00020,T0000056,FRAUDE,ALTA,2026-03-19 20:00:00
E00021,T0000027,SUSPEITA,ALTA,2026-03-27 06:00:00
E00022,T0000537,FRAUDE,MEDIA,2026-03-09 09:00:00
E00023,T0000086,FRAUDE,CRITICA,2026-04-09 14:00:00
E00024,T0000107,CHARGEBACK,CRITICA,2026-03-13 10:00:00
E00025,T0000269,FRAUDE,MEDIA,2026-03-04 17:00:00
E00026,T0000160,FRAUDE,MEDIA,2026-03-07 09:00:00
E00027,T0000087,CHARGEBACK,MEDIA,2026-04-15 14:00:00
E00028,T0000400,SUSPEITA,BAIXA,2026-03-15 02:00:00
E00029,T9999999,FRAUDE,ALTA,2026-04-02 15:00:00
E00003,T0000462,FRAUDE,BAIXA,2026-03-03 11:00:00
