id_transacao,id_cartao,data_transacao,valor,mcc,estabelecimento,canal,pais,moeda,device_id,ip_origem
T0000559,K00033,2026-04-09 09:21:00,2391.99,5732,ATM Banco,APP,BR,BRL,DEV-8254,10.0.24.145
T0000560,K00030,2026-04-08 07:48:00,1705.58,5732,ATM Banco,POS,BR,BRL,DEV-8896,10.0.7.67
T0000561,K00015,2026-04-02 12:40:00,2001.40,5541,Loja Online X,POS,BR,BRL,DEV-5314,10.0.15.74
T0000562,K00022,2026-04-02 12:43:00,194.69,5812,Posto Sul,APP,US,USD,DEV-6792,10.0.13.229
T0000563,K00013,2026-04-10 08:11:00,1250.00,5812,Restaurante Avenida,ECOMMERCE,US,USD,DEV-5348,10.0.13.59
T0000564,K00023,2026-04-04 07:53:00,394.21,5411,Mercado Central,POS,AR,ARS,DEV-9071,10.0.39.2
T0000565,K00024,2026-04-09 01:54:00,1553.57,5541,Tech Store,APP,BR,BRL,DEV-9041,10.0.11.253
T0000566,K00037,2026-04-09 08:25:00,324.97,5732,ATM Banco,ATM,BR,BRL,DEV-8836,10.0.34.9
T0000567,K00012,2026-04-09 11:25:00,1145.70,5411,Mobilidade Urbana,ATM,US,USD,DEV-6171,10.0.44.3
T0000568,K00038,2026-04-01 21:13:00,256.37,5999,Tech Store,APP,BR,BRL,DEV-4066,10.0.35.68
T0000569,K00022,2026-04-04 08:30:00,917.98,5541,Posto Sul,ECOMMERCE,AR,ARS,DEV-7866,10.0.44.193
T0000570,K00018,2026-04-06 11:54:00,1129.57,5732,Restaurante Avenida,ECOMMERCE,BR,BRL,DEV-2636,10.0.46.70
T0000571,K00013,2026-04-04 17:27:00,368.88,4111,Restaurante Avenida,ATM,BR,BRL,DEV-1159,10.0.11.108
T0000572,K00034,2026-04-08 04:57:00,1337.29,5999,ATM Banco,ATM,US,USD,DEV-5915,10.0.16.144
T0000573,K00011,2026-04-10 01:25:00,154.79,6011,Loja Online X,ATM,BR,BRL,DEV-2577,10.0.28.191
T0000574,K00036,2026-04-06 08:23:00,1395.94,6011,Loja Online X,APP,BR,BRL,DEV-1324,10.0.26.32
T0000575,K00037,2026-04-06 21:38:00,1441.86,4111,Tech Store,ECOMMERCE,BR,BRL,DEV-5663,10.0.22.84
T0000576,K00029,2026-04-09 15:49:00,2224.63,5541,Tech Store,APP,US,USD,DEV-8598,10.0.40.245
T0000577,K00027,2026-04-03 05:40:00,1580.03,5732,Posto Sul,POS,BR,BRL,DEV-2296,10.0.10.88
T0000578,K00019,2026-04-04 10:20:00,1777.53,5732,Mobilidade Urbana,ATM,US,USD,DEV-5444,10.0.28.200
