id_transacao,id_cartao,data_transacao,valor,mcc,estabelecimento,canal,pais,moeda
T0000544,K00037,2026-01-16 12:22:00,248.80,5812,Loja Online X,ATM,AR,ARS
T0000545,K00027,2026-01-03 09:38:00,648.22,5411,Mobilidade Urbana,POS,AR,ARS
T0000546,K00014,2026-01-17 00:24:00,1720.98,5999,Posto Sul,APP,US,USD
T0000547,K00017,2026-01-05 13:41:00,656.95,5732,Posto Sul,APP,AR,ARS
T0000548,K00027,2026-02-22 12:48:00,1382.50,5732,Posto Sul,ECOMMERCE,BR,BRL
T0000549,K00020,2026-02-18 17:30:00,1446.24,6011,Mobilidade Urbana,ATM,BR,BRL
T0000550,K00029,2026-01-22 03:47:00,1958.86,5812,Mercado Central,ECOMMERCE,BR,BRL
T0000551,K00004,2026-02-11 17:39:00,406.04,4111,Mercado Central,POS,US,USD
T0000552,K00005,2026-01-16 19:27:00,661.41,5999,Mercado Central,POS,BR,BRL
T0000553,K00019,2026-02-13 19:41:00,1780.46,5732,Mercado Central,ECOMMERCE,AR,ARS
T0000554,K00034,2026-02-15 00:12:00,718.59,5411,ATM Banco,ECOMMERCE,US,USD
T0000555,K00001,2026-01-22 01:23:00,2439.24,5411,Loja Online X,ATM,BR,BRL
T0000556,K00013,2026-02-22 12:25:00,1296.77,4111,Mobilidade Urbana,POS,AR,ARS
T0000557,K00038,2026-01-18 09:46:00,873.50,6011,Loja Online X,ECOMMERCE,AR,ARS
T0000558,K00017,2026-01-15 12:36:00,441.71,5732,Mercado Central,POS,BR,BRL
T0000006,K00025,2026-01-09 05:50:44,2181.06,6011,Posto Sul,ECOMMERCE,BR,BRL
