id_cartao,id_conta,tipo_cartao,limite,status_cartao,data_atualizacao,operacao
K00001,A00001,MULTIPLO,1500,ATIVO,2026-01-25 09:00:00,I
K00002,A00002,CREDITO,3000,ATIVO,2026-01-25 09:00:00,I
K00003,A00002,DEBITO,8000,ATIVO,2026-01-25 09:00:00,I
K00004,A00003,DEBITO,1500,ATIVO,2026-01-25 09:00:00,I
K00005,A00004,CREDITO,8000,ATIVO,2026-01-25 09:00:00,I
K00006,A00005,DEBITO,5000,ATIVO,2026-01-25 09:00:00,I
K00007,A00006,MULTIPLO,12000,ATIVO,2026-01-25 09:00:00,I
K00008,A00007,DEBITO,3000,ATIVO,2026-01-25 09:00:00,I
K00009,A00008,CREDITO,1500,ATIVO,2026-01-25 09:00:00,I
K00010,A00009,MULTIPLO,1500,ATIVO,2026-01-25 09:00:00,I
K00011,A00010,CREDITO,1500,ATIVO,2026-01-25 09:00:00,I
K00012,A00011,MULTIPLO,12000,ATIVO,2026-01-25 09:00:00,I
K00013,A00012,MULTIPLO,1500,ATIVO,2026-01-25 09:00:00,I
K00014,A00013,CREDITO,12000,ATIVO,2026-01-25 09:00:00,I
K00015,A00013,CREDITO,3000,ATIVO,2026-01-25 09:00:00,I
K00016,A00014,MULTIPLO,3000,ATIVO,2026-01-25 09:00:00,I
K00017,A00015,CREDITO,12000,ATIVO,2026-01-25 09:00:00,I
K00018,A00016,MULTIPLO,12000,ATIVO,2026-01-25 09:00:00,I
K00019,A00017,DEBITO,5000,ATIVO,2026-01-25 09:00:00,I
K00020,A00018,MULTIPLO,5000,ATIVO,2026-01-25 09:00:00,I
K00021,A00019,DEBITO,3000,ATIVO,2026-01-25 09:00:00,I
K00022,A00020,DEBITO,8000,ATIVO,2026-01-25 09:00:00,I
K00023,A00021,CREDITO,1500,ATIVO,2026-01-25 09:00:00,I
K00024,A00022,MULTIPLO,1500,ATIVO,2026-01-25 09:00:00,I
K00025,A00023,CREDITO,12000,ATIVO,2026-01-25 09:00:00,I
K00026,A00024,DEBITO,1500,ATIVO,2026-01-25 09:00:00,I
K00027,A00025,DEBITO,5000,ATIVO,2026-01-25 09:00:00,I
K00028,A00025,CREDITO,8000,ATIVO,2026-01-25 09:00:00,I
K00029,A00026,MULTIPLO,5000,ATIVO,2026-01-25 09:00:00,I
K00030,A00026,MULTIPLO,12000,ATIVO,2026-01-25 09:00:00,I
K00031,A00027,MULTIPLO,5000,ATIVO,2026-01-25 09:00:00,I
K00032,A00028,CREDITO,3000,ATIVO,2026-01-25 09:00:00,I
K00033,A00028,DEBITO,1500,ATIVO,2026-01-25 09:00:00,I
K00034,A00029,MULTIPLO,12000,ATIVO,2026-01-25 09:00:00,I
K00035,A00029,CREDITO,5000,ATIVO,2026-01-25 09:00:00,I
K00036,A00030,CREDITO,5000,ATIVO,2026-01-25 09:00:00,I
K00037,A00031,MULTIPLO,5000,ATIVO,2026-01-25 09:00:00,I
K00038,A00032,DEBITO,1500,ATIVO,2026-01-25 09:00:00,I
K00039,A00033,DEBITO,5000,ATIVO,2026-01-25 09:00:00,I
K00040,A00034,DEBITO,3000,ATIVO,2026-01-25 09:00:00,I
K00041,A00035,DEBITO,3000,ATIVO,2026-01-25 09:00:00,I
K00002,A00002,CREDITO,5000,ATIVO,2026-02-15 14:00:00,U
K00005,A00004,CREDITO,10000,ATIVO,2026-02-15 14:00:00,U
K00010,A00009,MULTIPLO,3500,ATIVO,2026-02-15 14:00:00,U
K00018,A00016,MULTIPLO,14000,ATIVO,2026-02-15 14:00:00,U
K00004,A00003,DEBITO,1500,CANCELADO,2026-03-05 16:30:00,U
K00011,A00010,CREDITO,1500,CANCELADO,2026-03-05 16:30:00,U
K00021,A00019,DEBITO,3000,CANCELADO,2026-03-05 16:30:00,U
K00999,A99999,CREDITO,5000,ATIVO,2026-03-06 10:00:00,I
